TotalSF,GrLivArea,1stFlrSF,TotalBsmtSF,OverallQual,OverallCond,ExterQual_num,KitchenQual_num,HouseAge,YearsSinceRemodel,TotalBath,GarageCars,GarageArea,Fireplaces,HasBasement,HasGarage,LotArea,SalePrice
2566,1710,856,856,7,5,4,4,21,21,3.5,2,548,0,1,1,8450,208500
2524,1262,1262,1262,6,8,3,3,48,48,2.5,2,460,1,1,1,9600,181500
2706,1786,920,920,7,5,4,4,23,22,3.5,2,608,1,1,1,11250,223500
2473,1717,961,756,7,5,3,4,109,54,2.0,3,642,1,1,1,9550,140000
3343,2198,1145,1145,8,5,4,4,24,24,3.5,3,836,1,1,1,14260,250000
2158,1362,796,796,5,5,3,3,31,29,2.5,2,480,0,1,1,14115,143000
3380,1694,1694,1686,8,5,4,4,20,19,3.0,2,636,1,1,1,10084,307000
3197,2090,1107,1107,7,6,3,3,51,51,3.5,2,484,2,1,1,10382,200000
2726,1774,1022,952,7,5,3,3,93,74,2.0,2,468,2,1,1,6120,129900
2068,1077,1077,991,5,6,3,3,85,74,2.0,1,205,2,1,1,7420,118000
2080,1040,1040,1040,5,5,3,3,59,59,2.0,1,384,0,1,1,11200,129500
3499,2324,1182,1175,9,5,5,5,19,18,4.0,3,736,2,1,1,11924,345000
1824,912,912,912,5,6,3,3,62,62,2.0,1,352,0,1,1,12968,144000
2988,1494,1494,1494,7,5,4,4,18,17,2.0,3,840,1,1,1,10652,279500
2506,1253,1253,1253,6,5,3,3,64,64,2.5,1,352,1,1,1,10920,157000
1686,854,854,832,7,8,3,3,95,23,1.0,2,576,0,1,1,6120,132000
2008,1004,1004,1004,6,7,3,3,54,54,2.0,2,480,1,1,1,11241,149000
1296,1296,1296,0,4,5,3,3,57,57,2.0,2,516,0,0,1,10791,90000
2228,1114,1114,1114,5,5,3,4,20,20,2.5,2,576,0,1,1,13695,159000
2368,1339,1339,1029,5,6,3,3,66,59,1.0,1,294,0,1,1,7560,139000
3534,2376,1158,1158,8,5,4,4,19,18,3.5,3,853,1,1,1,14215,325300
1745,1108,1108,637,7,7,3,4,94,74,1.0,1,280,1,1,1,7449,139400
3572,1795,1795,1777,8,5,4,4,22,22,2.0,2,534,1,1,1,9742,230000
2100,1060,1060,1040,5,7,3,3,48,48,2.0,2,572,1,1,1,4224,129900
2120,1060,1060,1060,5,8,3,4,56,23,2.0,1,270,1,1,1,8246,154000
3166,1600,1600,1566,8,5,4,4,17,17,2.0,3,890,1,1,1,14230,256300
1800,900,900,900,5,7,3,4,73,24,1.5,2,576,0,1,1,7200,134800
3408,1704,1704,1704,8,5,4,4,17,16,3.0,3,772,1,1,1,11478,306000
3084,1600,1600,1484,5,6,3,3,67,27,2.0,1,319,2,1,1,16321,207500
1040,520,520,520,4,6,3,2,97,74,1.0,1,240,0,1,1,6324,68500
1966,1317,649,649,4,4,3,3,104,74,1.0,1,250,0,1,1,8500,40000
2456,1228,1228,1228,5,6,3,4,58,18,1.5,1,271,0,1,1,8544,149350
